timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 08:11:19,15140,7688.00000000,7688.50000000,18850
2020-04-28 08:11:29,23140,7688.00000000,7688.50000000,12750
2020-04-28 08:11:39,25010,7688.00000000,7688.50000000,10720
2020-04-28 08:11:49,19710,7688.00000000,7688.50000000,12120
2020-04-28 08:11:59,82820,7688.00000000,7688.50000000,670
2020-04-28 08:12:09,1750,7693.50000000,7694.00000000,42760
2020-04-28 08:12:19,1750,7693.50000000,7694.00000000,42760
2020-04-28 08:12:29,1750,7693.50000000,7694.00000000,37060
2020-04-28 08:12:39,50,7693.50000000,7694.00000000,43960
2020-04-28 08:12:49,50,7693.50000000,7694.00000000,43960
2020-04-28 08:12:59,91960,7693.50000000,7694.00000000,5820
2020-04-28 08:13:09,41300,7694.00000000,7694.50000000,10730
2020-04-28 08:13:19,13770,7694.00000000,7694.50000000,13930
2020-04-28 08:13:29,10260,7694.00000000,7694.50000000,34830
2020-04-28 08:13:39,28580,7694.00000000,7694.50000000,17320
2020-04-28 08:13:49,10270,7694.00000000,7694.50000000,39240
2020-04-28 08:13:59,80,7694.00000000,7694.50000000,56320
2020-04-28 08:14:09,90,7693.50000000,7694.00000000,80230
2020-04-28 08:14:19,1910,7693.50000000,7694.00000000,46520
2020-04-28 08:14:29,60,7693.50000000,7694.00000000,48220
2020-04-28 08:14:39,60,7693.50000000,7694.00000000,48820
2020-04-28 08:14:49,130,7693.50000000,7694.00000000,49420
2020-04-28 08:14:59,130,7693.50000000,7694.00000000,61520
2020-04-28 08:15:09,60,7693.50000000,7694.00000000,70920
2020-04-28 08:15:19,1910,7693.50000000,7694.00000000,63990
2020-04-28 08:15:29,1980,7693.50000000,7694.00000000,63460
2020-04-28 08:15:39,1980,7693.50000000,7694.00000000,63460
2020-04-28 08:15:49,69800,7693.50000000,7694.00000000,28000
2020-04-28 08:15:59,81340,7693.50000000,7694.00000000,28000
2020-04-28 08:16:09,81330,7693.50000000,7694.00000000,22390
2020-04-28 08:16:19,81340,7693.50000000,7694.00000000,12290
2020-04-28 08:16:29,59680,7694.00000000,7694.50000000,4960
2020-04-28 08:16:39,59680,7694.00000000,7694.50000000,4960
2020-04-28 08:16:49,59680,7694.00000000,7694.50000000,4960
2020-04-28 08:16:59,118040,7694.50000000,7695.00000000,222500
2020-04-28 08:17:09,35140,7694.50000000,7695.00000000,224800
2020-04-28 08:17:19,38430,7694.50000000,7695.00000000,224730
2020-04-28 08:17:29,33130,7694.50000000,7695.00000000,224730
2020-04-28 08:17:39,19330,7694.50000000,7695.00000000,224730
2020-04-28 08:17:49,26230,7694.50000000,7695.00000000,224730
2020-04-28 08:17:59,19330,7694.50000000,7695.00000000,224730
2020-04-28 08:18:09,19340,7694.50000000,7695.00000000,224730
2020-04-28 08:18:19,19340,7694.50000000,7695.00000000,225330
2020-04-28 08:18:29,17640,7694.50000000,7695.00000000,227030
2020-04-28 08:18:39,12420,7694.50000000,7695.00000000,227030
2020-04-28 08:18:49,60340,7694.50000000,7695.00000000,225330
2020-04-28 08:18:59,104360,7694.50000000,7695.00000000,210090
2020-04-28 08:19:09,74690,7694.50000000,7695.00000000,196970
2020-04-28 08:19:19,74690,7694.50000000,7695.00000000,197130
2020-04-28 08:19:29,89800,7694.50000000,7695.00000000,188970
2020-04-28 08:19:39,64430,7694.50000000,7695.00000000,184130
2020-04-28 08:19:49,64430,7694.50000000,7695.00000000,185130
2020-04-28 08:19:59,64430,7694.50000000,7695.00000000,185130
2020-04-28 08:20:09,15480,7694.50000000,7695.00000000,202650
2020-04-28 08:20:19,15480,7694.50000000,7695.00000000,187130
2020-04-28 08:20:29,10560,7694.50000000,7695.00000000,187130
2020-04-28 08:20:39,3910,7693.00000000,7693.50000000,76830
2020-04-28 08:20:49,70,7692.00000000,7692.50000000,63020
2020-04-28 08:20:59,170,7690.50000000,7691.00000000,61340
2020-04-28 08:21:09,1820,7690.50000000,7691.00000000,62210
2020-04-28 08:21:19,1750,7690.50000000,7691.00000000,65720
2020-04-28 08:21:29,71080,7690.50000000,7691.00000000,34110
2020-04-28 08:21:39,28580,7690.50000000,7691.00000000,32710
2020-04-28 08:21:49,28580,7690.50000000,7691.00000000,32710
2020-04-28 08:21:59,28580,7690.50000000,7691.00000000,35810
2020-04-28 08:22:09,28650,7690.50000000,7691.00000000,35780
2020-04-28 08:22:19,16440,7690.50000000,7691.00000000,29180
2020-04-28 08:22:29,10740,7690.50000000,7691.00000000,41600
2020-04-28 08:22:39,120,7690.00000000,7690.50000000,68720
2020-04-28 08:22:49,10180,7686.00000000,7686.50000000,33370
2020-04-28 08:22:59,27140,7686.00000000,7686.50000000,31670
2020-04-28 08:23:09,230,7686.00000000,7686.50000000,64230
2020-04-28 08:23:19,12080,7686.00000000,7686.50000000,30270
2020-04-28 08:23:29,21270,7686.00000000,7686.50000000,33290
2020-04-28 08:23:39,17970,7686.00000000,7686.50000000,33990
2020-04-28 08:23:49,16800,7686.00000000,7686.50000000,28070
2020-04-28 08:23:59,50,7686.00000000,7686.50000000,98380
2020-04-28 08:24:09,1750,7686.00000000,7686.50000000,45940
2020-04-28 08:24:19,21940,7686.00000000,7686.50000000,17110
